item,itemLabel
http://www.wikidata.org/entity/Q80011,千葉県
http://www.wikidata.org/entity/Q125863,山形県
http://www.wikidata.org/entity/Q130308,熊本県
http://www.wikidata.org/entity/Q131358,滋賀県
http://www.wikidata.org/entity/Q132720,山梨県
http://www.wikidata.org/entity/Q1037393,北海道
http://www.wikidata.org/entity/Q83273,茨城県
http://www.wikidata.org/entity/Q80434,愛知県
http://www.wikidata.org/entity/Q122723,大阪府
http://www.wikidata.org/entity/Q133935,鳥取県
http://www.wikidata.org/entity/Q132751,島根県
http://www.wikidata.org/entity/Q132929,富山県
http://www.wikidata.org/entity/Q132936,岡山県
http://www.wikidata.org/entity/Q131314,和歌山県
http://www.wikidata.org/entity/Q132705,新潟県
http://www.wikidata.org/entity/Q617375,広島県
http://www.wikidata.org/entity/Q120730,京都府
http://www.wikidata.org/entity/Q127513,神奈川県
http://www.wikidata.org/entity/Q131277,岐阜県
http://www.wikidata.org/entity/Q134093,高知県
http://www.wikidata.org/entity/Q71707,福島県
http://www.wikidata.org/entity/Q123258,福岡県
http://www.wikidata.org/entity/Q129499,群馬県
http://www.wikidata.org/entity/Q130300,宮崎県
http://www.wikidata.org/entity/Q160734,徳島県
http://www.wikidata.org/entity/Q81863,秋田県
http://www.wikidata.org/entity/Q123376,愛媛県
http://www.wikidata.org/entity/Q133924,大分県
http://www.wikidata.org/entity/Q128186,埼玉県
http://www.wikidata.org/entity/Q131320,静岡県
http://www.wikidata.org/entity/Q133879,福井県
http://www.wikidata.org/entity/Q161454,香川県
http://www.wikidata.org/entity/Q169376,長崎県
http://www.wikidata.org/entity/Q131287,奈良県
http://www.wikidata.org/entity/Q766445,沖縄県
http://www.wikidata.org/entity/Q71699,青森県
http://www.wikidata.org/entity/Q127264,山口県
http://www.wikidata.org/entity/Q160420,佐賀県
http://www.wikidata.org/entity/Q130290,兵庫県
http://www.wikidata.org/entity/Q44843,栃木県
http://www.wikidata.org/entity/Q48326,岩手県
http://www.wikidata.org/entity/Q127877,長野県
http://www.wikidata.org/entity/Q131281,石川県
http://www.wikidata.org/entity/Q128196,三重県
http://www.wikidata.org/entity/Q1490,東京都
http://www.wikidata.org/entity/Q15701,鹿児島県
http://www.wikidata.org/entity/Q47896,宮城県
